City,Cloudiness,Country,DateTime,Humidity,Lat,Lng,Max Temp,Wind Speed
Busselton,0,AU,2020-01-27 02:22:15,16,-33.65,115.33,95.0,5.37
Richards Bay,100,ZA,2020-01-27 02:22:16,75,-28.78,32.04,74.88,34.31
Luderitz,0,NA,2020-01-27 02:22:17,55,-26.65,15.16,66.2,17.22
Svetlaya,0,RU,2020-01-27 02:22:18,61,46.54,138.33,18.19,2.48
Nikolskoye,20,RU,2020-01-27 02:22:19,68,59.7,30.79,28.4,8.95
Luquillo,90,PR,2020-01-27 02:22:20,74,18.37,-65.72,73.4,5.82
Nanding,100,CN,2020-01-27 02:22:22,75,36.75,118.06,37.0,4.85
Hilo,75,US,2020-01-27 02:21:13,65,19.73,-155.09,78.8,11.41
Klaksvik,94,FO,2020-01-27 02:22:07,63,62.23,-6.59,39.2,21.92
Jamestown,90,US,2020-01-27 02:20:25,92,42.1,-79.24,33.01,11.41
Copiapo,0,CL,2020-01-27 02:22:26,82,-27.37,-70.33,66.2,8.05
Tuktoyaktuk,90,CA,2020-01-27 02:22:27,75,69.45,-133.04,-18.4,6.93
Hasaki,75,JP,2020-01-27 02:22:28,70,35.73,140.83,44.6,4.7
Altay,94,CN,2020-01-27 02:19:53,87,47.87,88.12,12.88,3.51
Cherskiy,86,RU,2020-01-27 02:22:31,87,68.75,161.3,-23.78,1.48
Chernyshevskiy,97,RU,2020-01-27 02:22:32,94,63.01,112.47,0.72,8.43
Oshnaviyeh,0,IR,2020-01-27 02:22:33,78,37.04,45.1,12.2,6.93
Khatanga,93,RU,2020-01-27 02:22:34,98,71.97,102.5,-20.96,1.25
Verkhnechusovskiye Gorodki,100,RU,2020-01-27 02:22:35,96,58.17,57.11,1.53,6.15
Bilibino,3,RU,2020-01-27 02:22:36,93,68.05,166.44,-9.35,2.91
Guadix,0,ES,2020-01-27 02:22:37,88,37.3,-3.14,39.99,2.24
Gorontalo,76,ID,2020-01-27 02:22:39,66,0.54,123.06,86.59,5.37
Kangaatsiaq,100,GL,2020-01-27 02:22:40,90,68.31,-53.46,8.65,20.18
San Patricio,40,MX,2020-01-27 02:22:42,69,19.22,-104.7,78.8,6.93
Hermanus,77,ZA,2020-01-27 02:15:34,96,-34.42,19.23,59.0,7.16
Hofn,87,IS,2020-01-27 02:22:44,64,64.25,-15.21,39.74,23.09
Galle,100,LK,2020-01-27 02:22:45,78,6.04,80.22,79.03,3.58
Kununurra,75,AU,2020-01-27 02:22:46,59,-15.77,128.73,93.2,4.7
Plettenberg Bay,28,ZA,2020-01-27 02:22:48,79,-34.05,23.37,57.58,8.84
Surgut,90,RU,2020-01-27 02:22:49,84,61.25,73.42,-0.4,11.18
Ojinaga,1,MX,2020-01-27 02:22:50,38,29.57,-104.42,60.8,6.93
Vestmannaeyjar,74,IS,2020-01-27 02:22:51,74,63.44,-20.27,38.35,26.51
Upernavik,86,GL,2020-01-27 02:22:52,94,72.79,-56.15,-16.42,4.63
Pisco,56,PE,2020-01-27 02:22:53,88,-13.7,-76.22,73.0,20.8
Kavieng,7,PG,2020-01-27 02:22:55,72,-2.57,150.8,85.12,10.85
Nantucket,1,US,2020-01-27 02:21:33,86,41.28,-70.1,37.99,9.17
Guerrero Negro,20,MX,2020-01-27 02:22:57,86,27.98,-114.06,59.74,14.25
Longyearbyen,21,SJ,2020-01-27 02:22:58,71,78.22,15.64,3.2,3.36
Black River,20,JM,2020-01-27 02:22:59,69,18.03,-77.85,77.0,3.36
Port Elizabeth,17,ZA,2020-01-27 02:20:04,72,-33.92,25.57,60.8,12.75
Yamada,34,JP,2020-01-27 02:23:02,43,39.47,141.95,38.57,3.76
Dikson,99,RU,2020-01-27 02:23:04,96,73.51,80.55,-5.22,3.65
Champerico,1,GT,2020-01-27 02:23:05,79,14.3,-91.92,75.67,5.06
Balakhta,0,RU,2020-01-27 02:23:06,84,55.38,91.6,1.06,3.31
Victoria,20,HK,2020-01-27 02:20:38,62,22.29,114.16,57.0,12.75
Arlit,100,NE,2020-01-27 02:23:08,9,18.74,7.39,65.37,6.46
Denia,0,ES,2020-01-27 02:23:09,61,38.84,0.11,55.0,4.0
Mataura,76,NZ,2020-01-27 02:15:56,70,-46.19,168.86,64.99,10.0
Faanui,45,PF,2020-01-27 02:23:13,71,-16.48,-151.75,83.64,10.02
Hithadhoo,100,MV,2020-01-27 02:23:14,82,-0.6,73.08,81.75,13.02
Kota Belud,75,MY,2020-01-27 02:23:15,75,6.35,116.43,89.6,5.82
Bambous Virieux,75,MU,2020-01-27 02:19:21,83,-20.34,57.76,77.0,11.41
Berlevag,100,NO,2020-01-27 02:23:17,65,70.86,29.09,22.14,12.68
Vila Velha,20,BR,2020-01-27 02:23:18,94,-20.33,-40.29,73.99,2.24
Georgetown,20,MY,2020-01-27 02:22:49,74,5.41,100.34,84.2,8.05
Pindwara,0,IN,2020-01-27 02:23:21,42,24.8,73.07,63.46,4.36
Francistown,80,BW,2020-01-27 02:23:22,39,-21.17,27.51,77.2,5.86
Billings,20,US,2020-01-27 02:23:23,51,45.78,-108.5,39.2,5.82
Sitka,90,US,2020-01-27 02:23:25,75,57.05,-135.33,42.8,11.41
Coromandel,82,BR,2020-01-27 02:23:26,94,-18.47,-47.2,66.81,2.48
Kapaa,1,US,2020-01-27 02:23:27,74,22.08,-159.32,80.6,8.05
Lazaro Cardenas,0,MX,2020-01-27 02:23:28,76,17.96,-102.2,73.27,1.01
Tuatapere,91,NZ,2020-01-27 02:23:29,67,-46.13,167.68,64.99,10.0
Belousovka,75,KZ,2020-01-27 02:23:30,92,50.13,82.52,21.2,17.9
Agadez,100,NE,2020-01-27 02:23:31,14,19.75,10.25,56.7,2.57
Nha Trang,20,VN,2020-01-27 02:20:39,74,12.25,109.18,80.6,5.82
Saskylakh,99,RU,2020-01-27 02:23:35,97,71.92,114.08,-19.07,6.22
Puerto Carreno,100,CO,2020-01-27 02:23:36,58,6.19,-67.49,86.0,9.17
San Andres,20,CO,2020-01-27 02:19:37,74,12.58,-81.7,78.8,4.7
Humen,40,CN,2020-01-27 02:23:38,58,22.82,113.67,57.0,17.9
Comodoro Rivadavia,67,AR,2020-01-27 02:18:57,48,-45.87,-67.5,64.4,2.24
Puerto Ayora,100,EC,2020-01-27 02:23:40,35,-0.74,-90.35,75.0,1.01
Semirom,0,IR,2020-01-27 02:23:41,29,31.42,51.57,14.97,1.88
Urdoma,100,RU,2020-01-27 02:19:05,98,61.75,48.54,-2.99,2.64
Ambon,20,ID,2020-01-27 02:23:45,62,-3.7,128.18,89.6,9.17
Kokoda,100,PG,2020-01-27 02:23:46,80,-8.88,147.74,71.62,6.46
Kaitangata,81,NZ,2020-01-27 02:23:47,66,-46.28,169.85,69.01,7.23
Thompson,20,CA,2020-01-27 02:22:57,84,55.74,-97.86,-2.2,0.98
Ishigaki,75,JP,2020-01-27 02:23:49,72,24.34,124.16,68.0,18.34
Hervey Bay,90,AU,2020-01-27 02:20:44,69,-25.3,152.85,84.99,10.29
Sao Felix Do Xingu,88,BR,2020-01-27 02:23:51,96,-6.64,-51.99,73.71,0.63
Constitucion,11,CL,2020-01-27 02:23:54,71,-35.33,-72.42,62.73,7.27
Chitral,33,PK,2020-01-27 02:23:55,40,35.85,71.79,1.49,8.61
Avera,90,US,2020-01-27 02:23:56,57,33.19,-82.53,53.6,3.36
Manga,58,BF,2020-01-27 02:23:57,10,11.66,-1.07,69.06,9.75
Port Hardy,90,CA,2020-01-27 02:23:58,93,50.7,-127.42,42.8,6.93
Erenhot,100,CN,2020-01-27 02:23:59,81,43.65,111.98,21.0,7.99
Takoradi,14,GH,2020-01-27 02:24:00,86,4.88,-1.76,74.28,1.7
Tulsipur,0,NP,2020-01-27 02:24:01,76,28.13,82.3,55.99,2.8
Atuona,67,PF,2020-01-27 02:15:35,70,-9.8,-139.03,81.25,8.68
Alyangula,100,AU,2020-01-27 02:24:05,66,-13.85,136.42,91.4,10.29
Fairbanks,100,US,2020-01-27 02:24:06,74,64.84,-147.72,-14.01,2.26
Bengkulu,99,ID,2020-01-27 02:24:07,62,-3.8,102.27,85.35,2.86
Voyvozh,100,RU,2020-01-27 02:24:08,98,62.89,54.96,-4.68,3.44
Poronaysk,0,RU,2020-01-27 02:24:09,66,49.22,143.12,10.63,1.88
Balabac,5,PH,2020-01-27 02:24:10,70,7.99,117.06,84.31,7.29
Zhezkazgan,84,KZ,2020-01-27 02:24:12,91,47.8,67.71,19.58,12.71
Nishihara,75,JP,2020-01-27 02:24:13,73,26.18,127.76,71.6,23.04
Sao Filipe,0,CV,2020-01-27 02:24:14,65,14.9,-24.5,73.15,10.83
Olinda,40,BR,2020-01-27 02:24:16,78,-8.01,-34.86,82.4,5.82
Barmer,0,IN,2020-01-27 02:24:17,38,25.75,71.38,66.27,4.52
Resistencia,89,AR,2020-01-27 02:24:18,100,-27.46,-58.98,82.99,11.41
Khani,1,GE,2020-01-27 02:24:19,92,41.96,42.96,28.4,3.36
Mount Isa,90,AU,2020-01-27 02:24:20,70,-20.73,139.5,84.2,8.05
Arraial Do Cabo,1,BR,2020-01-27 02:23:49,79,-22.97,-42.03,75.49,11.5
Chatakonda,0,IN,2020-01-27 02:24:23,53,17.55,80.65,73.47,3.22
Ambulu,61,ID,2020-01-27 02:24:24,76,-8.35,113.61,81.99,3.36
Weligama,96,LK,2020-01-27 02:24:25,74,5.97,80.42,77.61,4.61
North Bend,90,US,2020-01-27 02:24:26,93,43.41,-124.22,51.01,13.87
Ayorou,28,NE,2020-01-27 02:24:27,9,14.73,0.92,67.26,10.13
Tanout,0,NE,2020-01-27 02:24:28,13,14.97,8.89,58.48,12.59
Aklavik,90,CA,2020-01-27 02:22:03,68,68.22,-135.01,-18.4,5.82
Saldanha,12,ZA,2020-01-27 02:24:31,82,-33.01,17.94,55.4,5.82
Lagoa,100,PT,2020-01-27 02:24:32,86,39.05,-27.98,61.75,16.8
Nanortalik,99,GL,2020-01-27 02:24:33,74,60.14,-45.24,22.75,19.62
Bakchar,100,RU,2020-01-27 02:24:34,86,57.02,82.07,14.23,14.36
Rexburg,90,US,2020-01-27 02:24:35,100,43.83,-111.79,35.6,2.13
Inhambane,0,MZ,2020-01-27 02:24:36,81,-23.86,35.38,77.4,9.98
East London,11,ZA,2020-01-27 02:15:34,69,-33.02,27.91,64.13,20.07
Pangkalanbuun,96,ID,2020-01-27 02:24:39,64,-2.68,111.62,88.75,1.57
Carnarvon,0,AU,2020-01-27 02:24:40,83,-24.87,113.63,80.6,14.99
Thinadhoo,100,MV,2020-01-27 02:24:41,77,0.53,72.93,81.77,10.8
Kargil,0,IN,2020-01-27 02:24:42,55,34.57,76.1,-17.52,1.14
Ponta Do Sol,20,PT,2020-01-27 02:15:34,72,32.67,-17.1,59.0,6.93
Novikovo,100,RU,2020-01-27 02:24:45,86,51.15,37.89,30.87,11.9
Lasa,40,IT,2020-01-27 02:24:46,86,46.62,10.7,32.0,4.7
Salta,40,AR,2020-01-27 02:24:47,83,-24.79,-65.41,73.4,10.29
Quatre Cocos,75,MU,2020-01-27 02:24:48,83,-20.21,57.76,77.0,11.41
Kovdor,100,RU,2020-01-27 02:24:49,98,67.57,30.48,-2.63,2.75
Severo-Kurilsk,89,RU,2020-01-27 02:24:51,88,50.68,156.12,22.35,11.21
Bredasdorp,67,ZA,2020-01-27 02:24:52,76,-34.53,20.04,55.4,2.24
Vardo,100,NO,2020-01-27 02:22:18,67,70.37,31.11,21.38,15.66
Cidreira,74,BR,2020-01-27 02:24:54,76,-30.18,-50.21,77.43,18.45
Palana,100,RU,2020-01-27 02:24:55,74,59.12,159.97,24.84,8.19
Te Anau,100,NZ,2020-01-27 02:24:56,86,-45.42,167.72,59.49,4.9
Padang,84,ID,2020-01-27 02:20:27,81,-0.95,100.35,78.48,2.01
Mahebourg,75,MU,2020-01-27 02:24:59,83,-20.41,57.7,77.0,11.41
La Ronge,90,CA,2020-01-27 02:25:00,92,55.1,-105.28,21.2,4.7
Inirida,100,CO,2020-01-27 02:25:01,74,3.87,-67.92,78.12,1.12
Tasiilaq,100,GL,2020-01-27 02:25:02,50,65.61,-37.64,28.4,3.36
Bereda,75,ES,2020-01-27 02:25:03,93,43.27,-7.54,54.0,4.7
Eenhana,95,NA,2020-01-27 02:25:04,78,-17.47,16.33,73.4,6.93
Clyde River,1,CA,2020-01-27 02:15:34,67,70.47,-68.59,-23.8,5.82
Bichura,100,RU,2020-01-27 02:25:07,80,50.59,107.6,9.12,1.16
Makakilo City,1,US,2020-01-27 02:25:08,48,21.35,-158.09,84.2,6.93
Ueki,75,JP,2020-01-27 02:25:09,71,32.9,130.68,57.2,9.17
Provideniya,0,RU,2020-01-27 02:22:16,76,64.38,-173.3,-5.8,4.47
San Policarpo,0,PH,2020-01-27 02:25:11,72,12.18,125.51,83.37,4.81
Beringovskiy,100,RU,2020-01-27 02:25:12,91,63.05,179.32,14.68,0.51
Golubitskaya,40,RU,2020-01-27 02:25:14,93,45.32,37.28,41.0,8.95
Tchibanga,100,GA,2020-01-27 02:25:15,94,-2.85,11.03,74.3,0.16
Alofi,100,NU,2020-01-27 02:25:16,79,-19.06,-169.92,84.2,8.05
Boone,90,US,2020-01-27 02:25:17,100,39.03,-92.33,34.0,9.17
Christchurch,22,NZ,2020-01-27 02:21:25,42,-43.53,172.63,86.0,8.05
Mahibadhoo,97,MV,2020-01-27 02:25:20,76,3.78,72.97,80.65,8.19
Chokurdakh,98,RU,2020-01-27 02:25:22,96,70.63,147.92,-26.28,4.59
Poum,0,NC,2020-01-27 02:25:23,78,-20.23,164.02,79.68,24.2
Margate,75,GB,2020-01-27 02:21:14,93,51.38,1.39,48.2,11.41
Zhuanghe,100,CN,2020-01-27 02:25:26,36,39.7,122.99,45.0,1.99
Lebu,3,CL,2020-01-27 02:25:27,60,-37.62,-73.65,57.61,7.78
Sungaipenuh,100,ID,2020-01-27 02:25:28,75,-2.08,101.38,75.43,0.85
Palkino,100,RU,2020-01-27 02:25:29,93,57.54,28.01,39.2,6.71
Khandbari,62,NP,2020-01-27 02:25:31,81,27.37,87.2,34.99,2.3
Pangnirtung,100,CA,2020-01-27 02:25:32,99,66.15,-65.71,-38.47,1.97
Biak,76,ID,2020-01-27 02:25:33,77,-0.91,122.88,82.22,2.17
Barinas,13,VE,2020-01-27 02:25:34,55,8.62,-70.21,80.64,3.85
Ca Mau,5,VN,2020-01-27 02:25:35,45,9.18,105.15,88.07,7.27
Fairview,1,US,2020-01-27 02:25:37,60,40.81,-74.0,43.0,7.49
Sungai Petani,20,MY,2020-01-27 02:25:38,74,5.65,100.49,84.2,8.05
Havre-Saint-Pierre,90,CA,2020-01-27 02:22:51,100,50.23,-63.6,26.6,17.22
Qiongshan,90,CN,2020-01-27 02:25:40,87,20.01,110.35,59.0,6.71
Leshukonskoye,100,RU,2020-01-27 02:25:41,96,64.9,45.76,-5.78,6.02
Naze,40,JP,2020-01-27 02:25:42,73,28.37,129.48,75.2,17.22
Saint-Denis,100,FR,2020-01-27 02:25:43,87,48.92,2.33,48.99,12.75
Turukhansk,100,RU,2020-01-27 02:25:45,94,65.82,87.98,3.2,8.19
Tacuarembo,99,UY,2020-01-27 02:23:26,39,-31.73,-55.98,74.1,6.73
Tiarei,20,PF,2020-01-27 02:25:47,59,-17.53,-149.33,89.6,9.17
Kodiak,75,US,2020-01-27 02:25:48,61,57.79,-152.41,15.8,6.93
Nemuro,40,JP,2020-01-27 02:25:49,73,43.32,145.57,24.8,6.93
Saint-Philippe,90,RE,2020-01-27 02:25:51,69,-21.36,55.77,73.4,10.29
Lompoc,75,US,2020-01-27 02:23:35,93,34.64,-120.46,59.0,17.22
Ottumwa,90,US,2020-01-27 02:25:53,92,41.02,-92.41,32.0,5.82
Tessalit,100,ML,2020-01-27 02:25:54,11,20.2,1.01,65.75,4.65
Ayan,98,RU,2020-01-27 02:25:55,65,56.45,138.17,7.02,4.14
Myitkyina,0,MM,2020-01-27 02:25:56,37,25.38,97.4,61.05,2.39
Rawson,0,AR,2020-01-27 02:25:57,57,-43.3,-65.1,59.9,10.09
Hualmay,100,PE,2020-01-27 02:25:58,82,-11.1,-77.61,71.08,4.88
Vydrino,95,RU,2020-01-27 02:26:00,87,51.48,104.85,20.48,0.76
Javanrud,0,IR,2020-01-27 02:26:01,56,34.8,46.52,20.77,3.74
Egvekinot,92,RU,2020-01-27 02:26:02,73,66.32,-179.17,-3.68,2.59
Grindavik,75,IS,2020-01-27 02:26:03,70,63.84,-22.43,32.0,13.87
Krizevci,90,HR,2020-01-27 02:26:04,90,46.02,16.54,35.01,3.36
Mao,0,ES,2020-01-27 02:26:05,93,39.89,4.27,48.2,4.7
Brae,57,GB,2020-01-27 02:26:07,80,60.4,-1.35,41.0,10.29
Magadan,100,RU,2020-01-27 02:26:08,79,59.57,150.8,11.61,16.98
Fairlie,100,GB,2020-01-27 02:26:09,86,55.76,-4.86,41.0,13.87
Sakaiminato,75,JP,2020-01-27 02:26:10,81,35.55,133.23,48.2,20.8
Half Moon Bay,20,US,2020-01-27 02:26:11,87,37.46,-122.43,55.99,9.17
Cangucu,100,BR,2020-01-27 02:26:12,87,-31.39,-52.68,77.0,1.01
Krasnyy Kholm,58,RU,2020-01-27 02:26:13,92,58.06,37.12,20.12,8.75
Bathsheba,40,BB,2020-01-27 02:26:14,74,13.22,-59.52,78.8,11.41
Zhigansk,0,RU,2020-01-27 02:26:16,61,66.77,123.37,-29.0,2.44
Vila Franca Do Campo,40,PT,2020-01-27 02:26:17,88,37.72,-25.43,62.6,18.34
Bandarbeyla,26,SO,2020-01-27 02:26:18,76,9.49,50.81,78.93,26.44
Taoudenni,100,ML,2020-01-27 02:26:19,24,22.68,-3.98,69.62,5.46
Bosaso,14,SO,2020-01-27 02:26:20,76,11.28,49.18,77.61,18.23
Muzhi,100,RU,2020-01-27 02:26:21,99,65.37,64.67,-10.98,5.39
Coquimbo,0,CL,2020-01-27 02:26:22,88,-29.95,-71.34,64.4,2.24
Haines Junction,100,CA,2020-01-27 02:26:24,97,60.75,-137.51,1.58,1.92
Portsmouth,83,GB,2020-01-27 02:26:25,93,50.8,-1.09,48.0,14.99
San Jose,75,US,2020-01-27 02:21:37,71,37.34,-121.89,57.2,5.82
Kempele,100,FI,2020-01-27 02:26:27,84,64.92,25.58,-0.4,4.7
Mogadishu,100,SO,2020-01-27 02:26:28,80,2.04,45.34,81.27,21.27
Necochea,0,AR,2020-01-27 02:26:30,62,-38.55,-58.74,60.01,10.0
Peleduy,0,RU,2020-01-27 02:26:31,89,59.63,112.74,8.11,8.43
Abbeyfeale,40,IE,2020-01-27 02:26:32,80,52.38,-9.3,39.2,14.99
Namibe,73,AO,2020-01-27 02:26:33,74,-15.2,12.15,74.48,7.25
Belaya Gora,89,RU,2020-01-27 02:26:34,92,68.53,146.42,-32.19,2.26
Portland,90,US,2020-01-27 02:24:06,71,45.52,-122.68,52.0,9.17
Vanimo,93,PG,2020-01-27 02:26:36,78,-2.67,141.3,83.39,15.84
Cody,75,US,2020-01-27 02:26:38,51,44.53,-109.06,35.6,0.51
Banda Aceh,68,ID,2020-01-27 02:26:39,63,5.56,95.32,83.3,5.59
Isla Mujeres,40,MX,2020-01-27 02:26:40,83,21.23,-86.73,75.2,12.3
Ahuimanu,40,US,2020-01-27 02:26:41,65,21.44,-157.84,84.2,10.29
Nouadhibou,0,MR,2020-01-27 02:26:42,67,20.93,-17.03,62.6,16.11
Turbat,83,PK,2020-01-27 02:26:43,52,26.0,63.04,59.97,9.17
Talnakh,100,RU,2020-01-27 02:26:44,77,69.49,88.4,-0.4,17.9
Kalmunai,100,LK,2020-01-27 02:26:46,65,7.42,81.82,79.77,11.65
Ingham,90,US,2020-01-27 02:26:47,97,42.6,-84.38,34.0,9.17
Soubre,72,CI,2020-01-27 02:26:48,97,5.79,-6.61,74.01,2.24
Sidi Bin Nur,0,TN,2020-01-27 02:26:49,81,35.53,10.92,55.99,3.36
Visnes,100,NO,2020-01-27 02:26:50,93,59.36,5.22,45.0,17.22
Cedar City,90,US,2020-01-27 02:26:51,45,37.68,-113.06,46.4,9.17
Rovaniemi,100,FI,2020-01-27 02:26:52,83,66.5,25.72,-5.8,8.05
Adrar,16,MR,2020-01-27 02:26:53,26,20.5,-10.07,65.73,10.58
Dzilam Gonzalez,0,MX,2020-01-27 02:26:55,79,21.28,-88.93,75.45,14.97
Nan,20,TH,2020-01-27 02:26:56,87,18.83,100.67,55.4,2.33
Hulan,0,CN,2020-01-27 02:26:57,52,45.98,126.6,32.0,6.71
Yarim,75,YE,2020-01-27 02:26:58,73,14.3,44.38,45.73,5.82
Amazar,36,RU,2020-01-27 02:27:00,89,53.86,120.88,1.92,1.28
Vanavara,86,RU,2020-01-27 02:27:01,99,60.34,102.28,-0.6,4.63
Ucluelet,90,CA,2020-01-27 02:22:41,100,48.93,-125.55,48.0,17.22
Codrington,89,AU,2020-01-27 02:27:03,74,-38.27,141.97,60.98,12.66
Pegnitz,90,DE,2020-01-27 02:27:04,100,49.76,11.54,35.01,3.36
Xining,0,CN,2020-01-27 02:27:06,65,36.62,101.77,13.91,4.65
Basco,100,PH,2020-01-27 02:27:07,83,20.45,121.97,74.71,16.06
Clyde,90,US,2020-01-27 02:25:46,97,41.3,-82.98,34.0,12.75
Cap Malheureux,75,MU,2020-01-27 02:27:09,83,-19.98,57.61,77.0,11.41
Caravelas,100,BR,2020-01-27 02:27:10,85,-17.71,-39.25,78.84,8.12
Micheweni,67,TZ,2020-01-27 02:27:12,82,-4.97,39.83,81.19,4.09
Salamiyah,0,SY,2020-01-27 02:27:13,90,35.01,37.05,41.02,6.22
Saint George,90,US,2020-01-27 02:27:14,43,37.1,-113.58,55.4,2.68
Paita,64,PE,2020-01-27 02:27:15,76,-5.09,-81.11,76.42,11.72
Ibra,0,OM,2020-01-27 02:27:17,47,22.69,58.53,55.44,9.64
Samana,17,DO,2020-01-27 02:24:50,89,19.21,-69.34,66.76,1.21
Westlock,90,CA,2020-01-27 02:27:19,92,54.15,-113.87,24.01,10.29
Simao,0,CN,2020-01-27 02:27:20,44,22.79,100.97,58.84,3.62
Linjiang,100,CN,2020-01-27 02:27:21,65,41.81,126.91,25.65,2.15
Vostok,0,RU,2020-01-27 02:27:22,80,46.49,135.88,16.41,3.27
Faya,0,SA,2020-01-27 02:25:38,48,18.39,42.45,41.0,4.0
Nhulunbuy,40,AU,2020-01-27 02:25:17,88,-12.23,136.77,78.8,11.41
Stillwater,1,US,2020-01-27 02:27:26,75,36.12,-97.06,48.99,5.82
Acarau,100,BR,2020-01-27 02:27:27,94,-2.89,-40.12,76.64,4.0
Machali,0,CL,2020-01-27 02:27:28,54,-34.18,-70.67,59.41,2.46
Mananjary,91,MG,2020-01-27 02:27:29,82,-21.22,48.33,73.29,5.64
Aasiaat,100,GL,2020-01-27 02:27:31,94,68.71,-52.87,6.87,10.27
Saint-Joseph,90,RE,2020-01-27 02:27:32,69,-21.37,55.62,73.4,10.29
Doka,0,SD,2020-01-27 02:27:33,56,13.52,35.77,55.63,8.32
Baneh,0,IR,2020-01-27 02:27:34,56,36.0,45.89,17.76,6.51
Praia Da Vitoria,90,PT,2020-01-27 02:27:35,100,38.73,-27.07,62.6,26.82
Giddalur,0,IN,2020-01-27 02:27:37,63,15.35,78.92,73.26,1.32
Buala,95,SB,2020-01-27 02:27:38,67,-8.14,159.59,86.92,7.7
Aviles,75,ES,2020-01-27 02:24:40,58,43.55,-5.92,57.2,4.7
Ilhabela,0,BR,2020-01-27 02:23:20,78,-23.78,-45.36,75.42,15.35
Jalingo,0,NG,2020-01-27 02:27:41,15,8.88,11.37,67.41,6.26
Sisimiut,100,GL,2020-01-27 02:27:42,93,66.94,-53.67,0.25,5.28
Colares,75,PT,2020-01-27 02:27:43,93,38.8,-9.45,57.99,5.82
Douglas,1,US,2020-01-27 02:27:45,80,41.3,-96.17,37.0,5.84
Makat,0,KZ,2020-01-27 02:27:46,90,47.65,53.35,24.03,12.08
Cairns,100,AU,2020-01-27 02:27:47,79,-16.92,145.77,90.0,6.93
Novoagansk,99,RU,2020-01-27 02:27:48,94,61.94,76.66,8.47,12.68
Laguna,1,US,2020-01-27 02:27:49,82,38.42,-121.42,59.0,8.05
Barrow,20,US,2020-01-27 02:27:50,82,71.29,-156.79,-25.6,8.05
Grants,1,US,2020-01-27 02:26:20,56,35.15,-107.85,41.0,10.29
